"HD068216","14"
"HD021396","14"
"HD057360","16"
"HD072341","17"
"HD072343","17"
"HD072325","17"
"HD072321","17"
"HD072322","17"
"HD067732","17"
"HD072330","17"
"HD067733","17"
"HD068215","17"
"HD072335","17"
"HD072337","17"
"HD072338","17"
"HD072339","17"
"HD067730","17"
"HD068327","17"
"HD036976","17"
"HD067729","17"
"HD037020","17"
"HD063731","17"
"HD063739","17"
"HD002922","17"
"HD063740","17"
"HD004609","17"
"HD055657","17"
"HD064201","17"
"HD063726","17"
"HD012660","17"
"HD013721","17"
"HD064216","17"
"HD064217","17"
"HD064218","17"
"HD055655","17"
"HD055656","17"
"HD018856","17"
"HD019451","17"
"HD019454","17"
"HD019460","17"
"HD019463","17"
"HD064220","17"
"HD064227","17"
"HD063727","17"
"HD055658","17"
"HD055659","17"
"HD056332","17"
"HD055660","17"
"HD055661","17"
"HD055662","17"
"HD055664","17"
"HD055666","17"
"HD055667","17"
"HD055668","17"
"HD037018","17"
"HD063738","17"
"HD048602","17"
"HD055430","17"
"HD056333","17"
"HD056334","17"
"HD056354","17"
"HD056356","17"
"HD056360","17"
"HD056361","17"
"HD056362","17"
"HD056363","17"
"HD058321","17"
"HD058322","17"
"HD058323","17"
"HD004309","17"
"HD004312","17"
"HD055663","17"
"HD055665","17"
"HD056359","17"
"HD063728","17"
"HD063729","17"
"HD063730","17"
"HD063732","17"
"HD063734","17"
"HD063735","17"
"HD063736","17"
"HD063741","17"
"HD063743","17"
"HD063744","17"
"HD064221","17"
"HD064222","17"
"HD064259","17"
"HD064202","17"
"HD064219","17"
"HD065055","17"
"HD065174","17"
"HD037021","18"
"HD068315","19"
"HD068319","19"
"HD067316","19"
"HD017714","19"
"HD067684","20"
"HD067687","20"
"HD067699","20"
"HD067701","20"
"HD020800","20"
"HD037019","21"
"HD015031","22"
"HD043290","22"
"HD022787","22"
"HD022400","22"
"HD043294","22"
"HD043295","22"
"HD037024","22"
"HD037025","22"
"HD037026","22"
"HD037027","22"
"HD037028","22"
"HD037030","22"
"HD043289","22"
"HD043296","22"
"HD043297","22"
"HD043340","22"
"HD043342","22"
"HD043343","22"
"HD056385","22"
"HD043293","22"
"HD021558","22"
"HD043292","22"
"HD064210","22"
"HD022784","22"
"HD065139","22"
"HD068210","25"
"HD064152","25"
"HD064153","25"
"HD064209","25"
"HD064249","25"
"HD029499","25"
"HD064250","25"
"HD064154","25"
"HD056979","25"
"HD056794","25"
"HD064155","25"
"HD064156","25"
"HD064157","25"
"HD064252","25"
"HD064253","25"
"HD056821","25"
"HD056665","25"
"HD056797","25"
"HD019175","25"
"HD064251","25"
"HD056685","25"
"HD020426","25"
"HD020429","25"
"HD020717","25"
"HD020804","25"
"HD056798","25"
"HD022637","25"
